range_m,elev_mil,time_flight_s,delta_elev_per_100m_mil,time_flight_per_100m_s
400,1531,36.3,9,
500,1514,36.2,9,
600,1496,36.2,9,0.1
700,1478,36.1,9,
800,1460,36.0,9,
900,1442,35.9,9,
1000,1424,35.8,10,
1100,1405,35.7,10,0.1
1200,1385,35.6,9,0.1
1300,1366,35.4,10,0.1
1400,1346,35.3,10,0.1
1500,1326,35.1,11,0.1
1600,1305,34.9,11,0.1
1700,1283,34.6,11,0.1
1800,1261,34.4,11,0.1
1900,1238,34.1,12,0.1
2000,1214,33.8,13,0.2
2100,1188,33.5,14,0.2
2200,1162,33.1,15,0.2
2300,1134,32.7,17,0.2
2400,1104,32.2,17,0.3
2500,1070,31.7,20,0.3
2600,1034,31.0,25,0.5
2700,993,30.3,31,0.6
2800,942,29.2,64,1.5
2900,870,27.7,,
