range_m,elev_mil,time_flight_s,delta_elev_per_100m_mil,time_flight_per_100m_s
500,1512,35.9,9,0.1
600,1494,35.8,9,
700,1476,35.7,9,
800,1458,35.7,9,0.1
900,1439,35.6,9,0.1
1000,1420,35.4,9,
1100,1402,35.3,10,
1200,1382,35.2,10,0.1
1300,1362,35.0,10,
1400,1342,34.9,11,0.1
1500,1321,34.7,11,0.1
1600,1300,34.5,12,0.2
1700,1277,34.2,11,0.1
1800,1255,34.0,12,0.2
1900,1231,33.7,13,0.2
2000,1206,33.4,13,0.2
2100,1180,33.0,13,0.2
2200,1153,32.7,15,0.3
2300,1123,32.2,15,0.2
2400,1092,31.7,17,0.3
2500,1058,31.1,19,0.3
2600,1018,30.4,20,0.4
2700,973,29.5,26,0.5
2800,915,28.4,40,0.9
2900,812,26.1,,
