range_m,elev_mil,time_flight_s,delta_elev_per_100m_mil,time_flight_per_100m_s
400,1517,33.6,11,
500,1495,33.5,10,
600,1474,33.5,11,0.1
700,1452,33.4,11,0.1
800,1429,33.2,11,
900,1407,33.1,12,
1000,1383,33.0,11,0.1
1100,1360,32.8,12,0.1
1200,1335,32.6,12,0.1
1300,1310,32.4,13,0.1
1400,1284,32.1,14,0.1
1500,1257,31.9,14,0.2
1600,1228,31.5,15,0.1
1700,1199,31.2,17,0.2
1800,1166,30.8,16,0.2
1900,1132,30.3,18,0.2
2000,1096,29.8,21,0.3
2100,1055,29.1,23,0.3
2200,1008,28.4,28,0.5
2300,952,27.4,36,0.7
2400,871,25.8,67,1.5
